,Action_ID,Video_ID,label,path,colab_path,length,sample_rate,is_original
0,a001,0363C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0363C/0363C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0363C/0363C.ogg,5.7699773242630386,44100,True
1,a001,0364C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0364C/0364C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0364C/0364C.ogg,5.7699773242630386,44100,True
2,a001,0365C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0365C/0365C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0365C/0365C.ogg,5.7699773242630386,44100,True
3,a001,0366C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0366C/0366C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0366C/0366C.ogg,5.9,44100,True
4,a001,0367C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0367C/0367C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0367C/0367C.ogg,5.74,44100,True
5,a001,0368C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0368C/0368C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0368C/0368C.ogg,5.87,44100,True
6,a001,0369C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0369C/0369C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0369C/0369C.ogg,6.07,44100,True
7,a001,0370C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0370C/0370C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0370C/0370C.ogg,5.7,44100,True
8,a001,0371C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0371C/0371C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0371C/0371C.ogg,6.2,44100,True
9,a001,0372C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0372C/0372C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0372C/0372C.ogg,5.9,44100,True
10,a001,0373C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0373C/0373C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0373C/0373C.ogg,5.57,44100,True
11,a001,0374C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0374C/0374C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0374C/0374C.ogg,5.84,44100,True
12,a001,0375C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0375C/0375C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0375C/0375C.ogg,5.54,44100,True
13,a001,0376C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0376C/0376C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0376C/0376C.ogg,6.54,44100,True
14,a001,0377C,drinking,../dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0377C/0377C.ogg,/content/drive/My Drive/experiment_m/dataset/STAIR_ACTIONS_DATASET/extract/audios/ogg/a001/0377C/0377C.ogg,5.67,44100,True
